emp_id,name,email,mobile
1,John Doe,john@example.com,1234567890
2,Jiya Smith,jane@example.com,9876543210
3,sefra Johnson,sefra@example.com,5678935690
4,nick,nick@example.com,1234654389
5,alina,alina@example.com,9875467245
6,nitin,nitin@example.com,5986547123
7,siri,siri@example.com,986840967
8,pratik,pratik@example.com,6543498457
9,suraj,suraj@example.com,8764445677
10,ria,ria@example.com,7655553329
11,ankita,ankita@example.com,9087909890
12,chetana,chetana@example.com,7896879098
13,ravi,ravi@example.com,5643567890
14,teju,teju@example.com,9076236705
15,ajay,ajay@example.com,9557533555
